Country,GII,HDI
Albania,0.39,0.7327658026
Algeria,0.11,0.7356237671
Angola,0.15,0.5315914218
Argentina,0.49,0.8355720182
Armenia,0.57,0.732982583
Australia,0.89,0.9349582502
Austria,0.88,0.88502726
Azerbaijan,0.34,0.7511391735
Bahrain,0.59,0.8239219568
Bangladesh,0.09,0.5700999744
Barbados,0.74,0.7854584129
Belarus,0.63,0.7983665179
Belgium,0.83,0.8902629922
Bhutan,0.14,0.6051845879
Bolivia,0.26,0.6618307642
Bosnia,0.44,0.7325303258
Botswana,0.36,0.6979187427
Brazil,0.51,0.7552919558
Bulgaria,0.73,0.7816753141
Burkina Faso,0.28,0.4022875728
Burundi,0.04,0.3999283285
Cabo Verde,0.27,0.6462402725
Cambodia,0.36,0.5547583213
Cameroon,0.22,0.5118065281
Canada,0.89,0.9131789844
Chile,0.71,0.8321784772
China,0.8,0.7274949412
Colombia,0.53,0.7201704
Costa Rica,0.64,0.7657469047
Cote d'Ivoire,0.18,0.4622219969
Croatia,0.72,0.817539869
Cyprus,0.76,0.8497454351
Czech Republic,0.84,0.8700908208
Denmark,0.94,0.923327926
Dominican Republic,0.37,0.7150284721
Ecuador,0.16,0.7316744431
Egypt,0.29,0.6899486552
El Salvador,0.3,0.6657842885
Estonia,0.84,0.8608350154
Ethiopia,0.1,0.4418159544
Fiji,0.19,0.7271357745
Finland,0.96,0.8827277868
France,0.86,0.8881074365
Gambia,0.21,0.4406494974
Georgia,0.49,0.7541186411
Germany,0.92,0.9160799077
Ghana,0.24,0.5790902867
Greece,0.69,0.8651871808
Guatemala,0.29,0.6272087879
Guinea,0.01,0.4112816274
Guyana,0.39,0.6357157493
Honduras,0.2,0.6060546076
Hong Kong,0.93,0.9099518696
Hungary,0.76,0.8283504532
Iceland,0.91,0.8994121268
India,0.43,0.6086927266
Indonesia,0.31,0.6837595593
Iran,0.25,0.765590711
Ireland,0.95,0.915541562
Israel,0.85,0.8942729806
Italy,0.79,0.8730229841
Jamaica,0.32,0.7185296019
Japan,0.87,0.8905932126
Jordan,0.47,0.7483285419
Kazakhstan,0.42,0.7879824522
Kenya,0.35,0.5484092848
Korea,0.91,0.8983341349
Kuwait,0.46,0.8162717676
Kyrgyzstan,0.23,0.6552735147
Latvia,0.77,0.8187660095
Lebanon,0.48,0.7688978373
Lesotho,0.16,0.4965321487
Lithuania,0.74,0.8394218831
Luxembourg,0.94,0.8918516267
Macedonia,0.61,0.7472528599
Madagascar,0.11,0.509865579
Malawi,0.31,0.4454155645
Malaysia,0.78,0.7792458239
Mali,0.26,0.419288836
Malta,0.82,0.8389783401
Mauritius,0.66,0.7765524444
Mexico,0.6,0.7562079116
Moldova,0.69,0.6933026906
Mongolia,0.54,0.7266205888
Montenegro,0.71,0.8022010068
Morocco,0.45,0.6279536616
Mozambique,0.33,0.4164275612
Myanmar,0.02,0.5355606776
Namibia,0.24,0.6276163077
Nepal,0.04,0.5475365249
Netherlands,0.98,0.9217935119
New Zealand,0.9,0.9134976556
Nicaragua,0.08,0.6314321337
Niger,0.05,0.3482543893
Nigeria,0.09,0.5140240014
Norway,0.86,0.94387728
Oman,0.51,0.7930194771
Pakistan,0.07,0.5383817619
Panama,0.56,0.7796775971
Paraguay,0.38,0.6791643556
Peru,0.5,0.7342031291
Philippines,0.41,0.6682183456
Poland,0.68,0.8426778279
Portugal,0.79,0.8300952968
Qatar,0.65,0.8497683646
Romania,0.62,0.79279742
Russia,0.66,0.7978702009
Rwanda,0.34,0.4832405237
Saudi Arabia,0.7,0.8372739773
Senegal,0.41,0.4658891269
Serbia,0.56,0.7711497775
Seychelles,0.54,0.7724593675
Singapore,0.96,0.91179782
Slovakia,0.75,0.8435721191
Slovenia,0.81,0.8802808404
South Africa,0.58,0.6658793943
Spain,0.81,0.8761243074
Sri Lanka,0.4,0.7566589109
Sudan,0,0.4791131196
Swaziland,0.13,0.5306331505
Sweden,0.99,0.9068164602
Switzerland,1,0.9296131399
Tajikistan,0.19,0.6244555049
Tanzania,0.17,0.521214356
Thailand,0.61,0.7258361392
Togo,0.01,0.4835375488
Trinidad and Tobago,0.44,0.7718938192
Tunisia,0.46,0.7211911321
Turkey,0.59,0.7611202934
Uganda,0.21,0.4826720906
Ukraine,0.55,0.7470052214
United Arab Emirates,0.67,0.8354690398
United Kingdom,0.99,0.9066981917
USA,0.97,0.914959354
Uruguay,0.52,0.7927629769
Uzbekistan,0.14,0.6754661173
Venezuela,0.06,0.7622524003
Viet Nam,0.64,0.6657173502
Yemen,0.03,0.4981102502
Zambia,0.12,0.5855098633
Zimbabwe,0.06,0.5087473856
